,fname,state,area
0,Data/projections\1_juvenile1_oral_Max.tif,mouth,13.0572
1,Data/projections\1_juvenile1_oral_Max.tif,ring,23.903100000000002
2,Data/projections\1_juvenile1_oral_Max.tif,tentacles,15.479100000000003
3,Data/projections\2_juvenile5_oral001_Max.tif,mouth,13.320450000000001
4,Data/projections\2_juvenile5_oral001_Max.tif,ring,33.274800000000006
5,Data/projections\2_juvenile5_oral001_Max.tif,tentacles,14.636700000000001
6,Data/projections\3_juvenile6_oral001_Max.tif,mouth,11.898900000000001
7,Data/projections\3_juvenile6_oral001_Max.tif,ring,24.534900000000004
8,Data/projections\3_juvenile6_oral001_Max.tif,tentacles,16.2162
9,Data/projections\4_R5-3_juvenile 1_oral_Max.tif,mouth,15.952950000000001
10,Data/projections\4_R5-3_juvenile 1_oral_Max.tif,ring,28.852200000000003
11,Data/projections\4_R5-3_juvenile 1_oral_Max.tif,tentacles,17.5851
12,Data/projections\5_animal1_oral_MAX.tif,mouth,16.742700000000003
13,Data/projections\5_animal1_oral_MAX.tif,ring,25.482600000000005
14,Data/projections\5_animal1_oral_MAX.tif,tentacles,14.952600000000002
15,Data/projections\6_animal2_oral_MAX.tif,mouth,16.900650000000002
16,Data/projections\6_animal2_oral_MAX.tif,ring,21.6918
17,Data/projections\6_animal2_oral_MAX.tif,tentacles,15.5844
18,Data/projections\7_juvenile2_oral001_MAX.tif,mouth,14.531400000000001
19,Data/projections\7_juvenile2_oral001_MAX.tif,ring,24.534900000000004
20,Data/projections\7_juvenile2_oral001_MAX.tif,tentacles,15.321150000000003
21,Data/projections\8_juvenile3_oral001_MAX.tif,mouth,15.584400000000002
22,Data/projections\8_juvenile3_oral001_MAX.tif,ring,30.115800000000004
23,Data/projections\8_juvenile3_oral001_MAX.tif,tentacles,15.479100000000003
24,Data/projections\9_animal2_oral_MAX.tif,mouth,15.847650000000002
25,Data/projections\9_animal2_oral_MAX.tif,ring,27.904500000000006
26,Data/projections\9_animal2_oral_MAX.tif,tentacles,16.795350000000003
