LOC5520504	RPL18
LOC5504418	eEF1A
LOC5512587	GAPDH
LOC5510121	ACTIN2
LOC5506254	ELAV
LOC5502681	ASC
LOC5511182	SYN
LOC5513027	SYT
LOC5519370	SH3GL3
endophilin-reporter	SH3GL3P
LOC5514715	RIMS
LOC5519479	VAT
LOC5501855	MAP
LOC116618368	TUBA
LOC5518594	PCDH
LOC5503898	KCNT
LOC116614450	SCN
LOC5519367	CACNA
LOC5512402	ATP1
LOC5513551	ATP2
LOC5504528	PC
LOC5513639	ENPEP
LOC5502924	CPA
LOC5513491	NvFP-7R
LOC5500914	CCND2
LOC5506788	YAP
LOC5522088	RNR
LOC5504076	KIF
LOC5518027	ANLN
LOC5516909	MHC
LOC5521757	COL1A
LOC5512847	DMD
LOC5514364	MUC
LOC5510408	FBN
LOC5510284	TPM
LOC5514662	MYL
