GeneList	Cluster_2	Cluster_3	Cluster_5	Cluster_6	Cluster_9	Cluster_13	Cluster_11	Cluster_12	Cluster_14	Total
ach_m	0	0	0	0	0	0	0	0	0	0
ach_n	2	5	7	6	4	1	0	3	2	30
adenosine	1	3	0	0	0	1	1	0	2	8
cannabinoid	0	0	0	0	0	0	0	0	0	0
dopamine	1	1	1	2	0	0	0	4	0	9
gaba_a	3	3	16	12	4	13	1	1	2	55
gaba_b	4	2	3	1	3	1	4	2	3	23
galanin	1	3	0	3	0	0	0	2	2	11
glutamate_i	1	4	4	4	1	0	0	0	3	17
glutamate_m	1	1	1	0	0	0	1	0	1	5
histamine	4	2	1	3	0	1	3	5	3	22
hormone	1	1	0	1	1	1	2	3	1	11
melatonin	1	2	2	4	1	2	2	1	1	16
neuromedin	0	2	0	1	0	0	0	1	2	6
neuropeptide_receptor	4	8	4	10	4	3	5	12	1	51
octopamine	2	8	1	3	0	2	1	8	5	30
peptide_receptor	6	10	1	3	3	1	8	7	5	44
serotonin	1	3	3	2	2	0	1	3	0	15
somatostatin	0	1	1	0	0	0	1	2	0	5
subk	0	1	0	1	0	1	0	2	1	6
subp	0	0	1	0	0	0	3	1	1	6
tyramine	1	0	0	1	0	0	1	3	1	7
