Cluster	Gene	Average_Expression	Percent_Expressed	Description
2	LOC5518454	0.241645244215938	13.6246786632391	galanin receptor 2b
3	LOC5515043	0.359322033898305	23.3898305084746	galanin receptor 2b-like
3	LOC5518454	0.898305084745763	45.7627118644068	galanin receptor 2b
3	LOC116603303	0.196610169491525	18.3050847457627	galanin receptor type 3
6	LOC5511801	0.283687943262411	23.4042553191489	galanin receptor type 1
6	LOC5519929	0.177304964539007	12.0567375886525	galanin receptor 2a isoform X1
6	LOC5505762	0.326241134751773	26.9503546099291	galanin receptor 2a
12	LOC5519061	0.604166666666667	41.6666666666667	galanin receptor type 1
12	LOC5509265	0.416666666666667	22.9166666666667	galanin receptor 2b isoform X1
14	LOC5522123	0.568181818181818	43.1818181818182	galanin receptor 2b
14	LOC5501193	0.25	25	galanin receptor type 1
