Cluster	Gene	Average_Expression	Percent_Expressed	Description
2	LOC116603714	0.259640102827764	17.7377892030848	histamine H2 receptor
2	LOC5512166	0.136246786632391	10.2827763496144	histamine H2 receptor
2	LOC5505182	0.172236503856041	13.3676092544987	histamine H2 receptor
2	LOC5508067	0.244215938303342	15.4241645244216	histamine H2 receptor
3	LOC5508067	0.420338983050847	27.1186440677966	histamine H2 receptor
3	LOC116619950	0.210169491525424	16.9491525423729	histamine H2 receptor
5	LOC5505182	0.186746987951807	12.0481927710843	histamine H2 receptor
6	LOC116603714	0.312056737588652	24.822695035461	histamine H2 receptor
6	LOC5512166	0.326241134751773	24.822695035461	histamine H2 receptor
6	LOC5505182	0.26241134751773	23.4042553191489	histamine H2 receptor
13	LOC116603714	0.333333333333333	24.4444444444444	histamine H2 receptor
11	LOC116603714	0.833333333333333	58.3333333333333	histamine H2 receptor
11	LOC5512166	0.145833333333333	12.5	histamine H2 receptor
11	LOC5505182	0.166666666666667	16.6666666666667	histamine H2 receptor
12	LOC116603714	0.208333333333333	18.75	histamine H2 receptor
12	LOC5519701	0.1875	18.75	histamine H2 receptor
12	LOC5509184	0.3125	29.1666666666667	histamine H2 receptor
12	LOC5518168	0.916666666666667	52.0833333333333	histamine H2 receptor
12	LOC5508057	0.270833333333333	25	histamine H2 receptor
14	LOC5518316	0.295454545454545	29.5454545454545	histamine H2 receptor
14	LOC5519701	0.136363636363636	13.6363636363636	histamine H2 receptor
14	LOC5505182	0.477272727272727	43.1818181818182	histamine H2 receptor
