Cluster	Gene	Average_Expression	Percent_Expressed	Description
2	LOC116618417	0.146529562982005	11.5681233933162	melatonin receptor type 1B-B
3	LOC116613196	0.108474576271186	10.1694915254237	melatonin receptor type 1B-B
3	LOC116601638	0.159322033898305	15.9322033898305	melatonin receptor type 1A
5	LOC5507500	0.174698795180723	14.4578313253012	melatonin-related receptor isoform X1
5	LOC116621533	0.518072289156627	31.3253012048193	melatonin receptor type 1B-B-like
6	LOC5507500	0.361702127659574	32.6241134751773	melatonin-related receptor isoform X1
6	LOC116621533	0.297872340425532	21.2765957446809	melatonin receptor type 1B-B-like
6	LOC5505779	0.127659574468085	12.7659574468085	melatonin receptor type 1B-B
6	LOC5520157	0.198581560283688	19.1489361702128	melatonin receptor type 1B
9	LOC116618417	0.333333333333333	15.2777777777778	melatonin receptor type 1B-B
13	LOC116621533	0.377777777777778	28.8888888888889	melatonin receptor type 1B-B-like
13	LOC5520157	0.111111111111111	11.1111111111111	melatonin receptor type 1B
11	LOC116621533	0.395833333333333	33.3333333333333	melatonin receptor type 1B-B-like
11	LOC5509504	0.1875	18.75	melatonin receptor type 1B
12	LOC5509504	0.166666666666667	16.6666666666667	melatonin receptor type 1B
14	LOC116618417	0.340909090909091	27.2727272727273	melatonin receptor type 1B-B
