Cluster	Gene	Average_Expression	Percent_Expressed	Description
2	LOC5503803	0.226221079691517	15.1670951156812	octopamine receptor
2	LOC5509249	0.246786632390745	16.1953727506427	octopamine receptor 1
3	LOC5521044	0.28135593220339	21.6949152542373	octopamine receptor 1
3	LOC5509249	0.793220338983051	40	octopamine receptor 1
3	LOC5507000	0.176271186440678	15.2542372881356	octopamine receptor beta-2R
3	LOC5515474	0.125423728813559	11.864406779661	octopamine receptor 1
3	LOC5515416	0.155932203389831	14.2372881355932	tyramine/octopamine receptor
3	LOC5522218	0.23728813559322	16.9491525423729	octopamine receptor beta-3R
3	LOC5506078	0.559322033898305	25.7627118644068	octopamine receptor beta-1R
3	LOC5503201	0.220338983050847	19.6610169491525	octopamine receptor 1
5	LOC5502646	0.114457831325301	10.2409638554217	octopamine receptor
6	LOC5509249	0.177304964539007	13.4751773049645	octopamine receptor 1
6	LOC5511358	0.24113475177305	22.6950354609929	octopamine receptor
6	LOC5503201	0.340425531914894	31.9148936170213	octopamine receptor 1
13	LOC5502646	0.688888888888889	42.2222222222222	octopamine receptor
13	LOC5509249	0.133333333333333	13.3333333333333	octopamine receptor 1
11	LOC5515474	0.291666666666667	27.0833333333333	octopamine receptor 1
12	LOC5504107	0.395833333333333	37.5	octopamine receptor
12	LOC5502642	0.333333333333333	29.1666666666667	octopamine receptor Oamb isoform X1
12	LOC5503803	0.208333333333333	10.4166666666667	octopamine receptor
12	LOC5520836	0.770833333333333	47.9166666666667	octopamine receptor
12	LOC125568323	0.375	20.8333333333333	octopamine receptor Oamb-like
12	LOC5510691	0.541666666666667	43.75	octopamine receptor beta-2R
12	LOC5506842	0.208333333333333	18.75	octopamine receptor
12	LOC5522218	0.541666666666667	31.25	octopamine receptor beta-3R
14	LOC5502646	0.204545454545455	20.4545454545455	octopamine receptor
14	LOC125568323	0.25	22.7272727272727	octopamine receptor Oamb-like
14	LOC116614385	0.295454545454545	27.2727272727273	octopamine receptor beta-1R-like
14	LOC5506078	1.47727272727273	61.3636363636364	octopamine receptor beta-1R
14	LOC5503201	0.136363636363636	13.6363636363636	octopamine receptor 1
