Cluster	Gene	Average_Expression	Percent_Expressed	Description
2	LOC5519891	0.169665809768638	12.853470437018	5-hydroxytryptamine receptor 1
3	LOC5519891	0.28135593220339	20	5-hydroxytryptamine receptor 1
3	LOC116609575	0.271186440677966	21.3559322033898	5-hydroxytryptamine receptor 7-like
3	LOC5512795	0.55593220338983	36.9491525423729	5-hydroxytryptamine receptor 1 isoform X2
5	LOC5514083	0.126506024096386	10.2409638554217	5-hydroxytryptamine receptor 7
5	LOC5519891	0.228915662650602	16.8674698795181	5-hydroxytryptamine receptor 1
5	LOC5512795	0.198795180722892	12.0481927710843	5-hydroxytryptamine receptor 1 isoform X2
6	LOC5513623	0.177304964539007	17.7304964539007	5-hydroxytryptamine receptor 6
6	LOC5512795	0.148936170212766	14.1843971631206	5-hydroxytryptamine receptor 1 isoform X2
9	LOC5520835	0.111111111111111	11.1111111111111	5-hydroxytryptamine receptor-like
9	LOC5512795	0.638888888888889	36.1111111111111	5-hydroxytryptamine receptor 1 isoform X2
11	LOC5512795	0.145833333333333	12.5	5-hydroxytryptamine receptor 1 isoform X2
12	LOC5507570	0.145833333333333	14.5833333333333	5-hydroxytryptamine receptor 1A
12	LOC5519891	0.395833333333333	31.25	5-hydroxytryptamine receptor 1
12	LOC5520835	0.3125	27.0833333333333	5-hydroxytryptamine receptor-like
