Cluster	Gene	Average_Expression	Percent_Expressed	Description
2	LOC5511067	0.120822622107969	10.025706940874	acid-sensing ion channel 3 isoform X3
3	LOC5513120	0.247457627118644	18.6440677966102	acid-sensing ion channel 2 isoform X1
5	LOC5520912	1.54819277108434	54.8192771084337	acid-sensing ion channel 1B
6	LOC5520912	0.595744680851064	41.8439716312057	acid-sensing ion channel 1B
9	LOC5519991	0.263888888888889	20.8333333333333	acid-sensing ion channel 1C
9	LOC5513120	0.166666666666667	13.8888888888889	acid-sensing ion channel 2 isoform X1
9	LOC116616008	0.138888888888889	12.5	acid-sensing ion channel 3 isoform X1
9	LOC5520912	0.138888888888889	13.8888888888889	acid-sensing ion channel 1B
9	LOC5501726	0.180555555555556	15.2777777777778	acid-sensing ion channel 3 isoform X1
13	LOC5520912	0.155555555555556	13.3333333333333	acid-sensing ion channel 1B
11	LOC5519991	1.25	66.6666666666667	acid-sensing ion channel 1C
11	LOC5507550	0.25	25	acid-sensing ion channel 3 isoform X1
11	LOC5511067	0.479166666666667	41.6666666666667	acid-sensing ion channel 3 isoform X3
11	LOC5516141	0.145833333333333	14.5833333333333	acid-sensing ion channel 1
11	LOC5520559	0.166666666666667	16.6666666666667	acid-sensing ion channel 2
12	LOC5520559	0.145833333333333	12.5	acid-sensing ion channel 2
14	LOC5513120	0.340909090909091	27.2727272727273	acid-sensing ion channel 2 isoform X1
14	LOC116616008	1.29545454545455	75	acid-sensing ion channel 3 isoform X1
