Cluster	Gene	Average_Expression	Percent_Expressed	Description
3	LOC125557325	0.145762711864407	13.5593220338983	rhodopsin, GQ-coupled-like
6	LOC5520380	0.51063829787234	39.0070921985816	rhodopsin, GQ-coupled
6	LOC116616161	0.170212765957447	14.1843971631206	rhodopsin, GQ-coupled isoform X1
9	LOC5507743	0.638888888888889	36.1111111111111	melanopsin isoform X1
9	LOC5515265	0.138888888888889	11.1111111111111	melanopsin-A isoform X1
11	LOC5507743	0.208333333333333	14.5833333333333	melanopsin isoform X1
12	LOC5520380	0.166666666666667	12.5	rhodopsin, GQ-coupled
12	LOC5514461	0.145833333333333	10.4166666666667	melanopsin-A
12	LOC5506568	0.916666666666667	52.0833333333333	melanopsin isoform X1
12	LOC5511651	0.3125	27.0833333333333	melanopsin-B
12	LOC125559113	0.208333333333333	18.75	melanopsin-like
