Cluster	Gene	Average_Expression	Percent_Expressed	Description
2	LOC5504370	0.259640102827764	19.7943444730077	transient receptor potential cation channel subfamily A member 1 isoform X1
2	LOC116617900	0.15681233933162	13.6246786632391	transient receptor potential cation channel subfamily A member 1 isoform X1
2	LOC5519444	0.352185089974293	25.1928020565553	transient receptor potential cation channel subfamily A member 1 isoform X1
3	LOC5504370	0.128813559322034	12.2033898305085	transient receptor potential cation channel subfamily A member 1 isoform X1
3	LOC116617900	0.176271186440678	14.5762711864407	transient receptor potential cation channel subfamily A member 1 isoform X1
3	LOC5519444	0.423728813559322	33.2203389830508	transient receptor potential cation channel subfamily A member 1 isoform X1
3	LOC5510332	0.142372881355932	12.2033898305085	transient receptor potential cation channel subfamily A member 1-like isoform X1
5	LOC5504370	0.150602409638554	10.8433734939759	transient receptor potential cation channel subfamily A member 1 isoform X1
5	LOC116617900	0.13855421686747	12.6506024096386	transient receptor potential cation channel subfamily A member 1 isoform X1
5	LOC5519444	0.259036144578313	21.0843373493976	transient receptor potential cation channel subfamily A member 1 isoform X1
6	LOC5504370	0.177304964539007	16.3120567375887	transient receptor potential cation channel subfamily A member 1 isoform X1
9	LOC5517341	0.208333333333333	16.6666666666667	short transient receptor potential channel 4 isoform X2
9	LOC5500864	0.111111111111111	11.1111111111111	transient receptor potential cation channel subfamily M member-like 2 isoform X2
9	LOC5521445	0.25	22.2222222222222	transient receptor potential cation channel subfamily V member 5
9	LOC116617900	0.194444444444444	13.8888888888889	transient receptor potential cation channel subfamily A member 1 isoform X1
9	LOC5519444	0.361111111111111	27.7777777777778	transient receptor potential cation channel subfamily A member 1 isoform X1
9	LOC116614762	0.138888888888889	13.8888888888889	transient receptor potential cation channel subfamily V member 6
13	LOC5500864	0.155555555555556	13.3333333333333	transient receptor potential cation channel subfamily M member-like 2 isoform X2
13	LOC5504370	0.2	20	transient receptor potential cation channel subfamily A member 1 isoform X1
13	LOC5521445	0.266666666666667	26.6666666666667	transient receptor potential cation channel subfamily V member 5
13	LOC5508618	0.111111111111111	11.1111111111111	transient receptor potential cation channel subfamily V member 6
13	LOC5510332	0.111111111111111	11.1111111111111	transient receptor potential cation channel subfamily A member 1-like isoform X1
11	LOC5517341	0.25	20.8333333333333	short transient receptor potential channel 4 isoform X2
11	LOC5510729	0.520833333333333	43.75	transient receptor potential cation channel subfamily A member 1 isoform X1
11	LOC116617900	0.645833333333333	41.6666666666667	transient receptor potential cation channel subfamily A member 1 isoform X1
11	LOC5508474	0.916666666666667	64.5833333333333	transient receptor potential cation channel subfamily A member 1
11	LOC5519444	0.208333333333333	18.75	transient receptor potential cation channel subfamily A member 1 isoform X1
12	LOC5500864	0.104166666666667	10.4166666666667	transient receptor potential cation channel subfamily M member-like 2 isoform X2
12	LOC5504370	0.145833333333333	14.5833333333333	transient receptor potential cation channel subfamily A member 1 isoform X1
12	LOC116617900	0.208333333333333	14.5833333333333	transient receptor potential cation channel subfamily A member 1 isoform X1
12	LOC5519444	0.291666666666667	20.8333333333333	transient receptor potential cation channel subfamily A member 1 isoform X1
12	LOC5510332	0.1875	16.6666666666667	transient receptor potential cation channel subfamily A member 1-like isoform X1
14	LOC5517341	0.136363636363636	11.3636363636364	short transient receptor potential channel 4 isoform X2
14	LOC116617900	0.159090909090909	13.6363636363636	transient receptor potential cation channel subfamily A member 1 isoform X1
14	LOC5508474	0.136363636363636	11.3636363636364	transient receptor potential cation channel subfamily A member 1
14	LOC5519444	0.295454545454545	20.4545454545455	transient receptor potential cation channel subfamily A member 1 isoform X1
14	LOC5510266	0.181818181818182	13.6363636363636	transient receptor potential cation channel subfamily A member 1 homolog
