LOC5506254	ELAV	ELAV-like
LOC5502681	ASC	achaete-scute
LOC5511182	SYN	synapsin
LOC5513027	SYT	synaptotagmin
LOC5519370	SH3GL3	SH3GL3
endophilin-reporter	SH3GL3P>mSc-I	SH3GL3P reporter
LOC5514715	RIMS	regulating synaptic membrane exocytosis
LOC5519479	VAT	synaptic vesicle membrane protein
LOC5501855	MAP	microtubule-associated protein
LOC116618368	TUBA	tubulin alpha
LOC5518594	PCDH	protocadherin-like
LOC5503898	KCNT	potassium channel
LOC116614450	SCN	sodium channel protein
LOC5519367	CACNA	voltage-dependent calcium channel
LOC5513370	KCNA	shaker-related potassium channel
LOC5512402	ATP1	Na+/K+ transporting ATPase
LOC5513551	ATP2	Ca2+ transporting ATPase
LOC5504528	PC	PC3-like endoprotease
LOC5513639	ENPEP	glutamyl aminopeptidase
LOC5502924	CPA	carboxypeptidase
