animalID,genotype,trial,Tgrasp,method,starvation,assayDate,series
WT1,WT,1,2.61,pipette,14,7/8/24,1
WT1,WT,2,3.48,pipette,14,7/8/24,1
WT1,WT,3,5.22,pipette,14,7/8/24,1
WT1,WT,4,4.35,pipette,14,7/8/24,1
WT2,WT,1,1.74,pipette,14,7/8/24,4
WT2,WT,2,3.48,pipette,14,7/8/24,4
WT2,WT,3,2.61,pipette,14,7/8/24,4
WT2,WT,4,2.61,pipette,14,7/8/24,4
WT3,WT,1,2.61,pipette,14,7/8/24,6
WT3,WT,2,3.48,pipette,14,7/8/24,6
WT3,WT,3,2.61,pipette,14,7/8/24,6
WT3,WT,4,4.35,pipette,14,7/8/24,6
WT4,WT,1,3.48,pipette,11,7/14/24,5
WT4,WT,2,1.74,pipette,11,7/14/24,5
WT4,WT,3,3.48,pipette,11,7/14/24,5
WT4,WT,4,4.35,pipette,11,7/14/24,5
WT5,WT,1,2.61,pipette,11,7/14/24,7
WT5,WT,2,1.74,pipette,11,7/14/24,7
WT5,WT,3,3.48,pipette,11,7/14/24,7
WT5,WT,4,1.74,pipette,11,7/14/24,7
WT6,WT,1,2.61,pipette,14,7/14/24,8
WT6,WT,2,2.61,pipette,14,7/14/24,8
WT6,WT,3,3.48,pipette,14,7/14/24,8
WT6,WT,4,2.61,pipette,14,7/14/24,8
WT7,WT,1,4.5,pipette,14,8/25/24,13
WT7,WT,2,4,pipette,14,8/25/24,13
WT7,WT,3,4.5,pipette,14,8/25/24,13
WT7,WT,4,5,pipette,14,8/25/24,13
MUT1,MUT,1,3.48,pipette,14,7/8/24,2
MUT1,MUT,2,2.61,pipette,14,7/8/24,2
MUT1,MUT,3,3.48,pipette,14,7/8/24,2
MUT1,MUT,4,3.48,pipette,14,7/8/24,2
MUT2,MUT,1,4.35,pipette,14,7/8/24,3
MUT2,MUT,2,2.61,pipette,14,7/8/24,3
MUT2,MUT,3,5.22,pipette,14,7/8/24,3
MUT2,MUT,4,3.48,pipette,14,7/8/24,3
MUT3,MUT,1,2.61,pipette,11,7/14/24,1
MUT3,MUT,2,2.61,pipette,11,7/14/24,1
MUT3,MUT,3,2.61,pipette,11,7/14/24,1
MUT3,MUT,4,4.35,pipette,11,7/14/24,1
MUT4,MUT,1,2.61,pipette,11,7/14/24,2
MUT4,MUT,2,2.61,pipette,11,7/14/24,2
MUT4,MUT,3,2.61,pipette,11,7/14/24,2
MUT4,MUT,4,2.61,pipette,11,7/14/24,2
MUT5,MUT,1,4.35,pipette,11,7/14/24,3
MUT5,MUT,2,4.35,pipette,11,7/14/24,3
MUT5,MUT,3,2.61,pipette,11,7/14/24,3
MUT5,MUT,4,3.48,pipette,11,7/14/24,3
MUT6,MUT,1,3.48,pipette,11,7/14/24,4
MUT6,MUT,2,2.61,pipette,11,7/14/24,4
MUT6,MUT,3,3.48,pipette,11,7/14/24,4
MUT6,MUT,4,1.74,pipette,11,7/14/24,4
MUT7,MUT,1,2.5,pipette,14,8/25/24,3
MUT7,MUT,2,3.5,pipette,14,8/25/24,3
MUT7,MUT,3,3.5,pipette,14,8/25/24,3
MUT7,MUT,4,4,pipette,14,8/25/24,3
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
