animalID,genotype,trial,Tgrasp,method,starvation,assayDate,series,,
WT1,WT,1,2.61,pipette,14,7/8/24,1,,
WT1,WT,2,3.48,pipette,14,7/8/24,1,,
WT1,WT,3,5.22,pipette,14,7/8/24,1,,
WT1,WT,4,4.35,pipette,14,7/8/24,1,,
WT1,WT,5,2.61,pipette,14,7/8/24,1,,
WT1,WT,6,3.48,pipette,14,7/8/24,1,,
WT1,WT,7,2.61,pipette,14,7/8/24,1,,
WT1,WT,8,2.61,pipette,14,7/8/24,1,,
WT1,WT,9,3.48,pipette,14,7/8/24,1,,
WT1,WT,10,4.35,pipette,14,7/8/24,1,,
WT2,WT,1,1.74,pipette,14,7/8/24,4,,
WT2,WT,2,3.48,pipette,14,7/8/24,4,,
WT2,WT,3,2.61,pipette,14,7/8/24,4,,
WT2,WT,4,2.61,pipette,14,7/8/24,4,,
WT2,WT,5,2.61,pipette,14,7/8/24,4,,
WT2,WT,6,3.48,pipette,14,7/8/24,4,,
WT2,WT,7,2.61,pipette,14,7/8/24,4,,
WT2,WT,8,3.48,pipette,14,7/8/24,4,,
WT2,WT,9,3.48,pipette,14,7/8/24,4,,
WT2,WT,10,3.48,pipette,14,7/8/24,4,,
WT3,WT,1,2.61,pipette,14,7/8/24,6,,
WT3,WT,2,3.48,pipette,14,7/8/24,6,,
WT3,WT,3,2.61,pipette,14,7/8/24,6,,
WT3,WT,4,4.35,pipette,14,7/8/24,6,,
WT3,WT,5,3.48,pipette,14,7/8/24,6,,
WT3,WT,6,2.61,pipette,14,7/8/24,6,,
WT3,WT,7,3.48,pipette,14,7/8/24,6,,
WT3,WT,8,8.7,pipette,14,7/8/24,6,,
WT3,WT,9,3.48,pipette,14,7/8/24,6,,
WT3,WT,10,2.61,pipette,14,7/8/24,6,,
WT4,WT,1,3.48,pipette,11,7/14/24,5,,
WT4,WT,2,1.74,pipette,11,7/14/24,5,,
WT4,WT,3,3.48,pipette,11,7/14/24,5,,
WT4,WT,4,4.35,pipette,11,7/14/24,5,,
WT4,WT,5,5.22,pipette,11,7/14/24,5,,
WT4,WT,6,3.48,pipette,11,7/14/24,5,,
WT4,WT,7,4.35,pipette,11,7/14/24,5,,
WT4,WT,8,2.61,pipette,11,7/14/24,5,,
WT4,WT,9,2.61,pipette,11,7/14/24,5,,
WT4,WT,10,3.48,pipette,11,7/14/24,5,,
WT5,WT,1,2.61,pipette,11,7/14/24,7,,
WT5,WT,2,1.74,pipette,11,7/14/24,7,,
WT5,WT,3,3.48,pipette,11,7/14/24,7,,
WT5,WT,4,1.74,pipette,11,7/14/24,7,,
