pipette_wt,pipette_mut,whisker_wt,whisker_mut
2.61,3.48,7,2.5
3.48,2.61,8,3.5
5.22,3.48,19.5,3.5
4.35,3.48,12.5,4
2.61,2.61,9,6.5
3.48,2.61,6,7.5
2.61,3.48,4.5,6
2.61,2.61,3.5,4.5
3.48,2.61,8.5,6.5
4.35,2.61,6.5,4.5
1.74,4.35,14,9
3.48,2.61,4.5,6.5
2.61,5.22,5,5
2.61,3.48,6,7.5
2.61,2.61,8,14.5
3.48,1.74,7,6.5
2.61,3.48,5,6.5
3.48,6.09,8,8
3.48,1.74,4.5,5
3.48,2.61,4,4.5
2.61,2.61,4.5,6
3.48,2.61,5,12
2.61,2.61,4,18.5
4.35,6.09,17.5,4.5
3.48,4.35,,16
2.61,2.61,,11.5
3.48,2.61,,6
8.7,3.48,,7
3.48,2.61,,
2.61,4.35,,
3.48,2.61,,
1.74,2.61,,
3.48,2.61,,
4.35,4.35,,
5.22,3.48,,
3.48,3.48,,
4.35,2.61,,
2.61,4.35,,
2.61,3.48,,
3.48,3.48,,
2.61,2.61,,
1.74,2.61,,
3.48,2.61,,
1.74,2.61,,
4.35,2.61,,
3.48,1.74,,
3.48,3.48,,
3.48,4.35,,
6.96,4.35,,
3.48,2.61,,
2.61,4.35,,
2.61,4.35,,
3.48,2.61,,
2.61,3.48,,
1.74,2.61,,
2.61,2.61,,
2.61,4.35,,
1.74,2.61,,
2.61,6.96,,
2.61,4.35,,
,3.48,,
,2.61,,
,3.48,,
,1.74,,
,4.35,,
,2.61,,
,1.74,,
,2.61,,
,2.61,,
,3.48,,
