animalID,genotype,trial,Tswallow,method,starvation,assayDate,series,,,,,
WT1,WT,1,47.5,whisker,7,8/25/24,2,,,,,
WT1,WT,2,65.8,whisker,7,8/25/24,2,,,,,
WT1,WT,3,69.3,whisker,7,8/25/24,2,,,,,
WT1,WT,4,57.4,whisker,7,8/25/24,2,,,,,
WT2,WT,1,81.9,whisker,7,8/25/24,8,,,,,
WT2,WT,2,79.1,whisker,7,8/25/24,8,,,,,
WT2,WT,3,70,whisker,7,8/25/24,8,,,,,
WT2,WT,4,81.2,whisker,7,8/25/24,8,,,,,
WT3,WT,1,81.2,whisker,7,8/25/24,13,,,,,
WT3,WT,2,88.2,whisker,7,8/25/24,13,,,,,
WT3,WT,3,78.4,whisker,7,8/25/24,13,,,,,
WT3,WT,4,91.2,whisker,7,8/25/24,13,,,,,
WT4,WT,1,81.78,pipette,11,7/14/24,5,,,,,
WT4,WT,2,80.04,pipette,11,7/14/24,5,,,,,
WT4,WT,3,53.07,pipette,11,7/14/24,5,,,,,
WT4,WT,4,66.99,pipette,11,7/14/24,5,,,,,
WT5,WT,1,67.86,pipette,11,7/14/24,8,,,,,
WT5,WT,2,85.26,pipette,11,7/14/24,8,,,,,
WT5,WT,3,87,pipette,11,7/14/24,8,,,,,
WT5,WT,4,71.34,pipette,11,7/14/24,8,,,,,
WT6,WT,1,56.55,pipette,14,7/8/24,1,,,,,
WT6,WT,2,44.37,pipette,14,7/8/24,1,,,,,
WT6,WT,3,65.25,pipette,14,7/8/24,1,,,,,
WT6,WT,4,60.03,pipette,14,7/8/24,1,,,,,
WT7,WT,1,49.59,pipette,14,7/8/24,4,,,,,
WT7,WT,2,53.94,pipette,14,7/8/24,4,,,,,
WT7,WT,3,67.86,pipette,14,7/8/24,4,,,,,
WT7,WT,4,77.43,pipette,14,7/8/24,4,,,,,
WT8,WT,1,61.77,pipette,14,7/8/24,6,,,,,
WT8,WT,2,65.25,pipette,14,7/8/24,6,,,,,
WT8,WT,3,79.17,pipette,14,7/8/24,6,,,,,
WT8,WT,4,57.42,pipette,14,7/8/24,6,,,,,
WT9,WT,1,86,whisker,14,11/15/24,9,,,,,
WT9,WT,2,73,whisker,14,11/15/24,9,,,,,
WT9,WT,3,53.5,whisker,14,11/15/24,9,,,,,
WT9,WT,4,72.5,whisker,14,11/15/24,9,,,,,
WT10,WT,1,101,whisker,14,11/15/24,11,,,,,
WT10,WT,2,79,whisker,14,11/15/24,11,,,,,
WT10,WT,3,71.5,whisker,14,11/15/24,11,,,,,
WT10,WT,4,85,whisker,14,11/15/24,11,,,,,
MUT1,MUT,1,63,whisker,7,8/25/24,3,,,,,
MUT1,MUT,2,58,whisker,7,8/25/24,3,,,,,
MUT1,MUT,3,58.5,whisker,7,8/25/24,3,,,,,
MUT1,MUT,4,67,whisker,7,8/25/24,3,,,,,
MUT2,MUT,1,91.5,whisker,7,8/25/24,11,,,,,
MUT2,MUT,2,60,whisker,7,8/25/24,11,,,,,
MUT2,MUT,3,68.5,whisker,7,8/25/24,11,,,,,
MUT2,MUT,4,57,whisker,7,8/25/24,11,,,,,
MUT3,MUT,1,85.5,whisker,7,8/25/24,12,,,,,
MUT3,MUT,2,47.5,whisker,7,8/25/24,12,,,,,
MUT3,MUT,3,47.5,whisker,7,8/25/24,12,,,,,
MUT3,MUT,4,63,whisker,7,8/25/24,12,,,,,
MUT4,MUT,1,114.84,pipette,11,7/14/24,2,,,,,
MUT4,MUT,2,69.6,pipette,11,7/14/24,2,,,,,
MUT4,MUT,3,83.52,pipette,11,7/14/24,2,,,,,
MUT4,MUT,4,79.17,pipette,11,7/14/24,2,,,,,
MUT5,MUT,1,148.77,pipette,11,7/14/24,3,,,,,
MUT5,MUT,2,116.58,pipette,11,7/14/24,3,,,,,
MUT5,MUT,3,113.1,pipette,11,7/14/24,3,,,,,
MUT5,MUT,4,100.05,pipette,11,7/14/24,3,,,,,
MUT6,MUT,1,104.5,whisker,11,8/29/24,3,,,,,
MUT6,MUT,2,67.5,whisker,11,8/29/24,3,,,,,
MUT6,MUT,3,57,whisker,11,8/29/24,3,,,,,
MUT6,MUT,4,73,whisker,11,8/29/24,3,,,,,
MUT7,MUT,1,121.8,pipette,14,7/8/24,2,,,,,
MUT7,MUT,2,79.17,pipette,14,7/8/24,2,,,,,
MUT7,MUT,3,62.64,pipette,14,7/8/24,2,,,,,
MUT7,MUT,4,68.73,pipette,14,7/8/24,2,,,,,
MUT8,MUT,1,133.98,pipette,14,7/8/24,3,,,,,
MUT8,MUT,2,120.06,pipette,14,7/8/24,3,,,,,
MUT8,MUT,3,120.06,pipette,14,7/8/24,3,,,,,
MUT8,MUT,4,118.32,pipette,14,7/8/24,3,,,,,
MUT9,MUT,1,186.05,whisker,14,11/15/24,2,,,,,
MUT9,MUT,2,106.14,whisker,14,11/15/24,2,,,,,
MUT9,MUT,3,128.71,whisker,14,11/15/24,2,,,,,
MUT9,MUT,4,87.84,whisker,14,11/15/24,2,,,,,
MUT10,MUT,1,127.5,whisker,14,11/15/24,5,,,,,
MUT10,MUT,2,87,whisker,14,11/15/24,5,,,,,
MUT10,MUT,3,88.5,whisker,14,11/15/24,5,,,,,
MUT10,MUT,4,125,whisker,14,11/15/24,5,,,,,
