animalID,genotype,trial,Tswallow,method,starvation,assayDate,series
WT1,WT,1,56.55,pipette,14,7/8/24,1
WT1,WT,2,44.37,pipette,14,7/8/24,1
WT1,WT,3,65.25,pipette,14,7/8/24,1
WT1,WT,4,60.03,pipette,14,7/8/24,1
WT1,WT,5,53.07,pipette,14,7/8/24,1
WT1,WT,6,52.2,pipette,14,7/8/24,1
WT1,WT,7,53.94,pipette,14,7/8/24,1
WT1,WT,8,93.09,pipette,14,7/8/24,1
WT1,WT,9,49.59,pipette,14,7/8/24,1
WT1,WT,10,52.2,pipette,14,7/8/24,1
WT2,WT,1,49.59,pipette,14,7/8/24,4
WT2,WT,2,53.94,pipette,14,7/8/24,4
WT2,WT,3,67.86,pipette,14,7/8/24,4
WT2,WT,4,77.43,pipette,14,7/8/24,4
WT2,WT,5,46.11,pipette,14,7/8/24,4
WT2,WT,6,53.07,pipette,14,7/8/24,4
WT2,WT,7,47.85,pipette,14,7/8/24,4
WT2,WT,8,53.07,pipette,14,7/8/24,4
WT2,WT,9,53.07,pipette,14,7/8/24,4
WT2,WT,10,57.42,pipette,14,7/8/24,4
WT3,WT,1,61.77,pipette,14,7/8/24,6
WT3,WT,2,65.25,pipette,14,7/8/24,6
WT3,WT,3,79.17,pipette,14,7/8/24,6
WT3,WT,4,57.42,pipette,14,7/8/24,6
WT3,WT,5,54.81,pipette,14,7/8/24,6
WT3,WT,6,66.99,pipette,14,7/8/24,6
WT3,WT,7,74.82,pipette,14,7/8/24,6
WT3,WT,8,69.6,pipette,14,7/8/24,6
WT3,WT,9,73.95,pipette,14,7/8/24,6
WT3,WT,10,46.98,pipette,14,7/8/24,6
WT4,WT,1,81.78,pipette,11,7/14/24,5
WT4,WT,2,80.04,pipette,11,7/14/24,5
WT4,WT,3,53.07,pipette,11,7/14/24,5
WT4,WT,4,66.99,pipette,11,7/14/24,5
WT4,WT,5,59.16,pipette,11,7/14/24,5
WT4,WT,6,72.21,pipette,11,7/14/24,5
WT4,WT,7,93.09,pipette,11,7/14/24,5
WT4,WT,8,73.08,pipette,11,7/14/24,5
WT4,WT,9,54.81,pipette,11,7/14/24,5
WT4,WT,10,54.81,pipette,11,7/14/24,5
WT5,WT,1,67.86,pipette,11,7/14/24,8
WT5,WT,2,85.26,pipette,11,7/14/24,8
WT5,WT,3,87,pipette,11,7/14/24,8
WT5,WT,4,71.34,pipette,11,7/14/24,8
WT5,WT,5,52.2,pipette,11,7/14/24,8
WT5,WT,6,66.99,pipette,11,7/14/24,8
WT5,WT,7,63.51,pipette,11,7/14/24,8
WT5,WT,8,73.08,pipette,11,7/14/24,8
WT5,WT,9,89.61,pipette,11,7/14/24,8
WT5,WT,10,62.64,pipette,11,7/14/24,8
MUT1,MUT,1,121.8,pipette,14,7/8/24,2
MUT1,MUT,2,79.17,pipette,14,7/8/24,2
MUT1,MUT,3,62.64,pipette,14,7/8/24,2
MUT1,MUT,4,68.73,pipette,14,7/8/24,2
MUT1,MUT,5,82.65,pipette,14,7/8/24,2
MUT1,MUT,6,77.43,pipette,14,7/8/24,2
MUT1,MUT,7,72.21,pipette,14,7/8/24,2
MUT1,MUT,8,81.78,pipette,14,7/8/24,2
MUT1,MUT,9,80.91,pipette,14,7/8/24,2
MUT1,MUT,10,73.95,pipette,14,7/8/24,2
MUT2,MUT,1,133.98,pipette,14,7/8/24,3
MUT2,MUT,2,120.06,pipette,14,7/8/24,3
MUT2,MUT,3,120.06,pipette,14,7/8/24,3
MUT2,MUT,4,118.32,pipette,14,7/8/24,3
MUT2,MUT,5,89.61,pipette,14,7/8/24,3
MUT2,MUT,6,111.36,pipette,14,7/8/24,3
MUT2,MUT,7,87.87,pipette,14,7/8/24,3
MUT2,MUT,8,83.52,pipette,14,7/8/24,3
MUT2,MUT,9,89.61,pipette,14,7/8/24,3
MUT2,MUT,10,82.65,pipette,14,7/8/24,3
MUT3,MUT,1,90.48,pipette,14,7/8/24,5
MUT3,MUT,2,71.34,pipette,14,7/8/24,5
MUT3,MUT,3,80.91,pipette,14,7/8/24,5
MUT3,MUT,4,95.7,pipette,14,7/8/24,5
MUT3,MUT,5,57.42,pipette,14,7/8/24,5
MUT3,MUT,6,59.16,pipette,14,7/8/24,5
MUT3,MUT,7,65.25,pipette,14,7/8/24,5
MUT3,MUT,8,61.77,pipette,14,7/8/24,5
MUT3,MUT,9,80.04,pipette,14,7/8/24,5
MUT3,MUT,10,66.12,pipette,14,7/8/24,5
MUT4,MUT,1,114.84,pipette,11,7/14/24,2
MUT4,MUT,2,69.6,pipette,11,7/14/24,2
MUT4,MUT,3,83.52,pipette,11,7/14/24,2
MUT4,MUT,4,79.17,pipette,11,7/14/24,2
MUT4,MUT,5,127.89,pipette,11,7/14/24,2
MUT4,MUT,6,78.3,pipette,11,7/14/24,2
MUT4,MUT,7,100.92,pipette,11,7/14/24,2
MUT4,MUT,8,88.74,pipette,11,7/14/24,2
MUT4,MUT,9,74.82,pipette,11,7/14/24,2
MUT4,MUT,10,69.6,pipette,11,7/14/24,2
MUT5,MUT,1,148.77,pipette,11,7/14/24,3
MUT5,MUT,2,116.58,pipette,11,7/14/24,3
MUT5,MUT,3,113.1,pipette,11,7/14/24,3
MUT5,MUT,4,100.05,pipette,11,7/14/24,3
MUT5,MUT,5,94.83,pipette,11,7/14/24,3
MUT5,MUT,6,87.87,pipette,11,7/14/24,3
MUT5,MUT,7,117.45,pipette,11,7/14/24,3
MUT5,MUT,8,100.05,pipette,11,7/14/24,3
MUT5,MUT,9,86.13,pipette,11,7/14/24,3
MUT5,MUT,10,102.66,pipette,11,7/14/24,3
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
